ID,Time,Bus_boarding,Bus_alighting,Sub_boarding,Sub_alighting,Bike_on_count,Bike_off_count,Latitude,Longitude,Temperature(¡ÆC),Precipitation(mm),Humidity(%),TinyDust,Pop_perc,Slope,Resident,Commercial,Industry,Green,NUM_BUS,NUM_SUB,Fp_perc,Bike_Demand
4857,15.67716535,60.4488189,42.88188976,294.8582677,260.1496063,3.086614173,2.881889764,37.51275635,127.126297,16.70866142,0,55.90692106,13.27559055,14027.32384,1.748008448,0.656286648,0,0,0.342983294,29,1,18002.0284,5.968503937
4859,15.15873016,15.40740741,12.38624339,491.1693122,480.7037037,4.767195767,5.079365079,37.52148438,127.1002808,15.95396825,0,58.44023742,13.97883598,10127.25057,3.539492777,0.500098377,0.00413052,0,0.495776281,8,1,15662.86396,9.846560847
486,11.88,129.96,160.64,0,0,1.36,1.24,37.60627365,126.9683228,12.198,0,66.78,10.36,5553.163995,10.70878777,0.695978989,0,0,0.303852736,41,0,3488.122425,2.6
4860,14.69014085,88.6056338,82.42253521,0,0,2.85915493,2.957746479,37.50226974,127.1219559,16.19366197,0,58.49407006,13.38732394,23525.58847,4.063587051,0.996971038,0,0,0,31,0,23230.84674,5.816901408
4862,14.00943396,60.8490566,62.6509434,0,0,2.141509434,2.018867925,37.52301788,127.1158829,15.43301887,0,61.77171384,13.4245283,10932.68474,8.21045664,0.432190095,0,0,0.567807317,74,0,10811.34525,4.160377358
4864,12.69318182,123.8143939,109.1363636,708.8901515,657.5909091,6.977272727,7.015151515,37.50205612,127.1105499,15.18787879,0,62.19650447,14.63257576,24733.75156,1.885050447,0.999963756,0,0,0,40,3,24849.53541,13.99242424
4865,13.45454545,55.68181818,40.19834711,216.9628099,202.9214876,7.479338843,7.826446281,37.51647949,127.1149826,15.42933884,0,61.21319135,14.26859504,12697.85756,7.951087777,0.570277085,0.110436714,0,0.319199474,34,1,20181.81791,15.30578512
4867,14.3027027,21.29189189,14.18918919,0,0,3.232432432,2.956756757,37.5000267,127.1184311,15.57081081,0,60.7143562,13.91351351,23737.10466,4.171838526,0.999695809,0,0,0.000289952,27,0,23769.00427,6.189189189
4868,13.26422764,91.14227642,80.08130081,0,0,6.43902439,6.768292683,37.50717163,127.1012421,15.34715447,0,61.61965604,14.4796748,19957.05099,1.036086255,0.952389644,0.046572225,0,0,26,0,30520.89379,13.20731707
487,13.96832579,37.84162896,31.02262443,0,0,4.963800905,5.248868778,37.54364014,126.9383087,14.97104072,0,59.36651584,15.18552036,21566.20663,3.132594426,0.999882207,0,0,0,80,0,20668.02154,10.21266968
4870,12.49815498,60.6199262,49.53874539,200.8523985,183.5719557,11.2804428,11.55719557,37.5170784,127.1123276,15.17232472,0,62.7330509,14.62361624,16319.72286,10.94880177,0.6880778,0.146054195,0,0.165790339,63,1,23864.75045,22.83763838
4871,14.09489051,37.80291971,31.38686131,290.5693431,280.1021898,2.364963504,2.299270073,37.51072693,127.1304016,15.59781022,0,59.61860004,13.39416058,16114.77455,1.945769571,0.852027463,0,0,0.142994167,18,1,17528.23971,4.664233577
4872,14.18181818,83.32323232,44.29292929,219.7222222,181.3787879,3.080808081,3.146464646,37.49806213,127.134613,15.85656566,0,59.68782699,14.3030303,19874.96752,9.976257281,1.000016828,0,0,0,33,1,17246.61112,6.227272727
4873,14.15104167,81.640625,52.22916667,231.21875,219.390625,3.15625,3.067708333,37.49827194,127.1348648,15.36354167,0,60.61816707,13.94270833,19846.74458,9.976257281,0.999968934,0,0,0,32,1,17272.68078,6.223958333
4874,14.47863248,64.41880342,55.37606838,0,0,2.35042735,2.333333333,37.50117111,127.0851669,16.36324786,0,55.75741069,13.4957265,14503.61581,4.915715212,0.560062754,0,0,0.438285556,15,0,14155.49731,4.683760684
4875,15.54477612,115.6791045,67.93283582,0,0,2.395522388,2.880597015,37.4826355,127.1399231,16.38955224,0,59.27472254,14.07462687,13982.01685,15.02184294,0.526621206,0.048172138,0,0.18528313,30,0,13509.94128,5.276119403
4876,13.98550725,135.4589372,110.4782609,0,0,4.439613527,5.45410628,37.50291443,127.0925369,15.83478261,0,59.35320079,13.89371981,19405.2408,1.962008276,0.989818029,0,0,0.01016126,36,0,27120.86224,9.893719807
4879,14.45454545,63.89393939,40.78787879,356.6515152,280.0151515,1.575757576,1.590909091,37.49222183,127.1565933,15.67121212,0,56.33297786,13.40909091,10733.04639,6.809403898,0.456724683,0,0,0.017289675,27,1,8290.170556,3.166666667
488,13.63207547,158.4528302,123.1792453,0,0,4.188679245,4.382075472,37.58456802,126.8802109,15.00283019,0,57.94811321,14.56132075,5709.802109,5.900863118,0.522938559,0.065870852,0,0.175206008,36,0,11610.85583,8.570754717
4880,13.20261438,30.88235294,28.67320261,0,0,2.294117647,2.267973856,37.48995972,127.1119614,15.43267974,0,58.74456595,13.56862745,8605.948235,0.74684674,0.369372798,0.350876716,0,0.267379638,14,0,15506.96145,4.562091503
4881,14.12195122,95.64634146,68.58536585,354.8902439,313,1.475609756,1.475609756,37.49535751,127.139473,15.90853659,0,56.99861789,12.98780488,18252.28294,5.083010819,0.987352144,0,0,0,27,1,18283.69878,2.951219512
4882,15.74193548,48.01612903,18.4516129,0,0,1.919354839,1.903225806,37.48868561,127.1522675,15.44516129,0,63.22616212,14.9516129,10545.47908,3.079707539,0.35338014,0,0,0.000212286,17,0,6601.808103,3.822580645
4883,17.65909091,37.27272727,5.272727273,0,0,1.681818182,1.613636364,37.48714828,127.1532822,16.90681818,0,60.7311451,14.11363636,8206.481155,3.416859403,0.213140515,0,0,0.000203225,2,0,4018.271944,3.295454545
4884,13.87654321,8.592592593,3.734567901,0,0,4.333333333,4.660493827,37.48352432,127.1168366,15.75864198,0,58.35416825,13.48148148,10414.62855,1.212699089,0.266781612,0.034680315,0,0.256867588,2,0,20606.60592,8.99382716
4885,14.078125,82.9375,86.25,652.046875,612.375,2.453125,2.046875,37.47709656,127.123703,16.075,0,56.60008413,12.65625,8612.116158,1.771159057,0.139837057,0.348720199,0,0.239396693,40,1,17499.89807,4.5
4886,14.92,42.24,40.18666667,0,0,2.346666667,2.38,37.49793243,127.096756,15.98066667,0,59.52772308,14.08,18004.36984,2.467842669,0.543359455,0,0,0.456982274,9,0,14646.30386,4.726666667
4887,15.31578947,14.38345865,7.571428571,0,0,2.616541353,2.736842105,37.48633575,127.1137466,16.02030075,0,59.72675246,14.83458647,8173.087868,8.645049567,0.425936713,0,0,0.334741671,4,0,15491.78052,5.353383459
4888,14.92537313,4.52238806,1.880597015,0,0,2.298507463,1.597014925,37.51869202,127.139061,16.37910448,0,58.00114045,14.11940299,4539.486614,5.259364888,0.431693034,0,0,0.289180394,4,0,3586.466374,3.895522388
4889,14.02816901,76.67605634,27.29577465,302.1267606,249.8098592,2.316901408,2.267605634,37.49459076,127.1510925,15.57323944,0,59.28462261,13.88028169,14141.74281,7.036935326,0.795097224,0,0,0.000212286,37,1,19468.36639,4.584507042
489,13.32894737,349.7894737,307.8552632,0,0,2.565789474,2,37.58320236,126.8827667,14.99605263,0,58.31578947,15.38157895,7327.927269,15.7800327,0.624916186,0.159410103,0,0.214665352,57,0,14636.381,4.565789474
4892,14.39506173,79.34567901,69.79012346,0,0,1.864197531,1.950617284,37.52597046,127.1182098,15.4617284,0,60.32912156,13.44444444,10964.75319,1.730048658,0.562762931,0,0,0.433634676,61,0,10723.58137,3.814814815
4895,14.06077348,46.19337017,51.95027624,0,0,3.127071823,3.121546961,37.48641586,127.1420593,15.33370166,0,62.09187633,14.11049724,14300.33429,6.515454269,0.609899526,0.024559183,0,0.008321878,8,0,11234.73076,6.248618785
4896,15.46296296,66.03703704,54.7962963,0,0,1.611111111,1.759259259,37.48688889,127.1416931,15.52407407,0,59.08408594,13.2962963,14617.27247,6.515454269,0.59686852,0.024559183,0,0.026311838,8,0,10988.74549,3.37037037
4897,14.66176471,36.37745098,35.39705882,0,0,5.475490196,5.857843137,37.51633453,127.0938034,16,0,58.81014517,14.21078431,18114.35488,6.091527371,0.734007989,0.009319882,0,0.256672129,17,0,15175.72325,11.33333333
490,13.90055249,332.6022099,241.4198895,0,0,4.44198895,4.370165746,37.58207703,126.8876648,15.30165746,0,56.66850829,14.45303867,7239.879233,16.38688547,0.403125008,0.332117865,0,0.263954581,60,0,15665.10596,8.812154696
4901,14,399.4883721,351.1976744,2519.22093,2654.5,2.802325581,2.279069767,37.50687408,127.0647354,15.89651163,0,56.55813953,13.91860465,3965.523217,3.746242665,0.666534635,0.165251857,0,0.167505456,115,1,28275.78158,5.081395349
4902,13.83435583,251.595092,223.4294479,0,0,2.472392638,2.576687117,37.49524307,127.0393753,14.81656442,0,59.74233129,13.09815951,16574.49038,4.45478313,0.970802882,0.003087211,0,0,50,0,31172.82396,5.049079755
4903,13.72222222,238.9722222,169.1666667,1362.722222,1383.680556,1.861111111,1.736111111,37.51916885,127.0189743,16.35555556,0,53.875,12.43055556,11670.53382,4.467215114,0.925055207,0.062216682,0,0.012725522,54,1,32166.55268,3.597222222
4905,14.04347826,212.1428571,231.3167702,1751.447205,2092.732919,4.472049689,4.043478261,37.50971985,127.0667954,15.95838509,0,55.53416149,13.50931677,4439.882318,4.284070588,0.481496152,0.153591649,0,0.36455882,111,1,17311.76367,8.51552795
4906,13.5049505,353.5247525,337.0792079,1823.950495,1834.40099,4.193069307,4.084158416,37.50767136,127.060173,15.10594059,0,59.04950495,14.1039604,5003.814633,2.165669858,0.571721667,0.427917188,0,0,119,1,40777.30389,8.277227723
4907,14.6091954,138.1724138,200.3448276,1255.137931,1322.770115,2.011494253,1.643678161,37.5257225,127.0258865,15.66896552,0,58.50574713,13.66666667,8134.265434,3.146799982,0.963548907,0,0,0.031260436,25,1,26712.65427,3.655172414
4908,16.16326531,250.5306122,514.2244898,0,0,1.918367347,1.428571429,37.52210999,127.0364609,16.6877551,0,50.95918367,12.85714286,10295.61663,4.387772362,0.903971564,0.080734769,0,0,30,0,27993.54789,3.346938776
4909,13.54166667,188.125,195.1666667,1783.208333,1475.416667,1.625,1.25,37.50570297,127.0291977,15.45,0,62.16666667,13.25,14199.00865,7.438404835,0.87619055,0.122372635,0,0,61,2,36494.21226,2.875
491,14.87179487,258.8205128,257.1282051,0,0,2.320512821,2.179487179,37.57597733,126.8880692,16.55128205,0,54.67948718,14.67948718,5792.637029,7.117371138,0.396278778,0.196829428,0,0.406878849,92,0,14930.05201,4.5
4911,13.95294118,238.4823529,281.8705882,0,0,1.682352941,1.576470588,37.49107361,127.0361939,14.96,0,55.29411765,12.42352941,17345.19457,6.665691981,0.877232565,0.102576947,0,0,64,0,31418.24434,3.258823529
4913,15.10638298,164.4680851,183.1276596,855.0212766,1311.553191,1.723404255,1.468085106,37.51292038,127.056427,15.4893617,0,54.61702128,12.36170213,10059.9179,12.82254525,0.723217637,0.2711982,0,0,77,2,36598.78172,3.191489362
4914,14.65648855,237.4961832,344.2442748,2104.122137,2974.679389,3.106870229,2.603053435,37.50999069,127.0584717,16.50610687,0,53.04580153,13.6870229,6818.814584,13.50915039,0.465506083,0.532374939,0,0,111,2,51220.5658,5.709923664
4915,14.61538462,327.9230769,300.9807692,2674.615385,2944.326923,1.538461538,1.480769231,37.49775314,127.0385742,14.60384615,0,59.61538462,13.30769231,15745.34961,5.157682383,0.796016268,0.191047218,0,0,27,1,39422.63245,3.019230769
4916,17.28571429,65.85714286,176.5714286,419.1428571,1553.428571,1.142857143,1,37.51973724,127.0576782,15.88571429,0,54.28571429,14.14285714,9492.080936,14.18051483,0.892546942,0.056333507,0,0.03926259,39,1,12242.50462,2.142857143
493,14.00456621,294.9497717,326.0821918,2915.283105,2745.205479,4.479452055,4.589041096,37.55657578,126.9288559,15.00547945,0,58.87671233,14.80365297,15614.58002,5.368304844,0.953514501,0.0463923,0,0,141,3,30305.63351,9.068493151
494,13.93406593,97.45054945,89.85714286,268.2637363,266.1758242,2,1.868131868,37.54724503,126.9350281,14.99010989,0,56.9010989,15.32967033,16856.46184,5.894934423,0.998886792,0,0,0,157,1,20942.98922,3.868131868
495,13.92857143,173.5714286,174.1071429,1687.668367,1781.454082,2.964285714,3.015306122,37.54243088,126.9469986,14.97397959,0,58.38265306,14.31122449,22732.22215,4.235606189,0.815951754,0.182229575,0,0,143,5,32503.48486,5.979591837
4951,14.92571429,59.85142857,46.15428571,0,0,3.194285714,3.777142857,37.547966,127.1351624,14.64057143,0,60.33142857,15.22857143,28165.83651,2.442491292,0.999961167,0,0,0,83,0,38480.14495,6.971428571
497,13.58078603,138.3886463,102.0131004,1384.60262,1257.458515,5.790393013,4.908296943,37.551754,126.9123001,15.02270742,0,59.33624454,14.88646288,14822.93618,1.572001567,0.899218424,0.100425608,0,0,130,2,29046.28098,10.69868996
498,13.3562753,124.3279352,98.22672065,0,0,6.170040486,6.493927126,37.56465149,126.9221268,14.8611336,0,59.85020243,15.42105263,16268.7519,15.54019969,0.929612888,0,0,0.06360172,108,0,17839.03299,12.66396761
500,12.86055777,95.96414343,80.17131474,602.9721116,551.9521912,4.932270916,4.912350598,37.54706955,127.0742722,14.31115538,0,55.86454183,13.90836653,10800.49681,3.517179065,0.954957789,0.044521851,0,0,22,1,22215.50476,9.844621514
501,13.87323944,137.9671362,111.5821596,1620.178404,1501.131455,3.816901408,3.408450704,37.53730774,127.0703507,14.4657277,0,54.72300469,14.15023474,21350.0443,3.57489075,0.927172892,0.057080392,0,0,86,2,29357.84868,7.225352113
502,13.63821138,36.70325203,20.06097561,288.304878,306.2398374,22.8699187,24.56910569,37.53186035,127.0671921,14.45772358,0,55.28455285,13.78861789,13396.63747,4.204915322,0.536685384,0,0,0.463328855,45,1,16084.83899,47.43902439
505,12.61923077,72.16538462,60.35,584.1730769,550.3,4.7,4.719230769,37.53701019,127.0822449,14.31230769,0,56.69230769,13.76153846,22425.15205,2.442706756,0.938099158,0.061863303,0,0,63,1,28444.54503,9.419230769
5052,13.75313808,39.84518828,24.25941423,320.9456067,316.5564854,12.94560669,13.48953975,37.55974579,126.8243866,14.54309623,0,60.72496513,14.30543933,11565.02179,2.484476469,0.516551851,0.144270473,0.05581703,0.004860577,31,1,16136.42855,26.43514644
